mins_since_last,hour_of_day,drinks_today,avg_interval,activity_level,time_of_day_bucket,label
16.424383149190067,20,10,47.10791250617235,1,4,1
5.935870217011181,16,10,44.18561938300206,7,3,0
36.832734612714354,7,7,32.95788421097572,7,1,1
120.0,6,11,40.333327399179744,6,1,1
5.258208505456853,21,14,61.98473153382331,2,4,0
16.870513091967624,8,4,22.735096338665457,6,1,1
0.46738043139371926,19,1,37.89672253964488,1,4,0
40.34627670845316,20,11,39.79754162893099,6,4,1
6.663706578086246,22,3,48.49169240171561,5,4,0
25.693881356823002,15,3,43.27957474080794,7,3,1
13.836473619919452,19,6,48.46696357832704,4,4,1
17.224560212797652,20,4,46.91224450222956,3,4,1
27.38424791227111,14,12,48.73184192069559,2,3,1
54.65194017925041,10,9,27.41173715166042,6,2,1
66.40820211301542,17,1,36.313784688594396,5,3,1
13.765997461444597,8,11,52.52193128845643,0,1,0
16.896871063887893,20,13,47.016921298947274,6,4,1
51.586148835247755,12,10,10.0,1,2,1
20.252203247470007,12,0,41.37641164803254,5,2,1
5.251603459865126,12,12,18.721053054766628,4,2,0
2.8036497492561727,7,9,47.52172497287208,5,1,0
21.342621355585678,17,11,54.43961934999553,7,3,1
57.657190195624814,12,13,36.150547259611685,5,2,1
0.018217935344494632,18,8,26.94542568158389,2,4,0
18.909566232153495,10,0,34.85928225209846,6,2,1
6.4495448381989835,14,3,43.86325586084146,3,3,0
9.923391573973142,12,1,28.62509319222637,7,2,1
1.3154567217932887,22,1,30.11226546345283,4,4,0
14.813008870682317,6,2,45.07033988312712,1,1,1
120.0,9,6,28.369958410645836,6,1,1
56.8841428838235,10,3,39.31896017069745,6,2,1
3.3120205584067333,6,8,25.141955123039676,4,1,0
68.40603747518213,9,2,53.312674216244034,3,1,1
36.26435195416922,14,0,46.42019261484141,7,3,1
5.178054470374763,15,2,30.615755571506025,7,3,0
28.354632624027783,22,1,55.00728411643157,6,4,1
14.491627843396337,8,2,47.829123484253465,7,1,1
18.142863824409233,6,7,49.79572466574641,5,1,1
0.3233861963848043,8,8,67.98661766717134,7,1,0
120.0,9,0,39.92714583023455,7,1,1
48.03251430830267,13,6,25.601580518291406,7,2,1
3.442497150694367,19,13,38.843474358788434,5,4,0
82.7929193877002,7,4,81.01633238592612,7,1,1
69.87166371561189,21,2,62.19773162797829,7,4,1
6.822674957868794,19,4,44.90835079548799,4,4,0
92.24332100661614,22,13,33.21306651482996,4,4,1
7.4146237939949415,6,2,43.21140616195306,6,1,0
65.07432724311563,8,7,22.784200407625,6,1,1
25.56733637435263,7,9,53.0867073649068,2,1,1
43.19441721110078,12,12,29.99584937565231,1,2,1
70.62825165787702,18,11,47.72571529459072,4,4,1
7.560402043143759,13,13,43.48444237264607,6,2,1
0.9801849611787578,7,1,68.34321484189874,2,1,0
21.931243186373838,22,3,10.126933202028791,7,4,1
51.43767791560073,17,11,29.04450052424295,4,3,1
7.565010385331787,20,2,60.451532364275565,4,4,0
120.0,15,13,38.39208287258311,2,3,1
20.229420094565548,10,9,28.42271383364867,1,2,1
86.36675710867361,20,1,35.20967383277833,0,4,1
37.77866223938795,6,12,45.659443981906136,5,1,1
45.831763161889455,8,11,22.246402480831932,5,1,1
0.5074327902281497,19,11,46.657291422193424,3,4,0
0.6058521067397735,21,4,20.575862882802102,5,4,0
36.72114993565536,15,5,33.39933269954524,6,3,1
0.5398002251316107,6,7,25.27737023428074,7,1,0
100.81644392143544,7,0,45.16102197103034,3,1,1
29.987385595214057,8,11,43.40476451829024,2,1,1
99.33445011815496,8,0,44.21487801602549,0,1,1
37.32076788965253,15,9,21.426537232774756,6,3,1
4.401254194018767,18,10,45.43020867913706,4,4,0
120.0,9,9,65.17458264734343,2,1,1
120.0,21,3,59.16497343682637,7,4,1
70.639914844263,10,11,63.292896637589884,0,2,1
9.524153891673075,22,0,59.582182107314935,5,4,0
12.365581043183454,22,3,35.93439306567186,5,4,1
39.52867937099551,20,4,43.02861162704193,3,4,1
39.07132529749772,9,4,49.36179725578233,4,1,1
93.5417646816421,12,13,10.0,6,2,1
27.631539945732833,16,1,41.35108880472492,5,3,1
3.074943258401178,18,7,32.93442541572516,4,4,0
9.29480574119235,13,12,57.31531507613386,6,2,1
83.39250335120698,18,3,59.897558311551606,2,4,1
52.5434889159119,12,10,28.12420032016631,5,2,1
23.7476788280534,18,1,29.764860983197693,3,4,1
51.014370915518185,14,6,47.79019771361759,5,3,1
17.891901331669306,22,8,34.85198145053248,5,4,1
